City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,Huarmey,26.6845,-80.6676,294.26,65,22,2.24,US,2021-04-02 21:18:15
170,Huarmey,-41.8697,-73.8203,287.59,82,90,2.06,CL,2021-04-02 21:22:02
171,Huarmey,42.2667,27.7667,284.15,87,20,4.12,BG,2021-04-02 21:22:02
172,Huarmey,-20.4081,57.7,297.15,100,40,1.54,MU,2021-04-02 21:22:03
173,Huarmey,63.05,179.3167,259.91,86,98,6.08,RU,2021-04-02 21:22:03
174,Huarmey,-46.2817,169.8464,283.71,74,81,1.79,NZ,2021-04-02 21:22:03
175,Huarmey,45.7625,106.2708,271.28,31,3,3.82,MN,2021-04-02 21:22:04
176,Huarmey,64.3833,-173.3,261.19,90,100,7.58,RU,2021-04-02 21:22:04
177,Huarmey,-4.5,37.9,294.2,93,89,3.12,TZ,2021-04-02 21:18:28
178,Huarmey,-28.7667,114.6,294.15,88,82,5.66,AU,2021-04-02 21:22:04
179,Huarmey,71.0357,27.8492,270.7,89,96,2.75,NO,2021-04-02 21:22:05
180,Huarmey,-15.5333,167.1667,300.32,81,100,0.15,VU,2021-04-02 21:22:05
181,Huarmey,10.9333,108.1,297.8,89,96,1.14,VN,2021-04-02 21:22:06
182,Huarmey,-33.0153,27.9116,290.61,82,99,6.87,ZA,2021-04-02 21:22:06
183,Huarmey,51.4667,140.7833,273.32,93,100,6.0,RU,2021-04-02 21:22:06
184,Huarmey,-7.3817,108.2082,294.85,94,54,1.64,ID,2021-04-02 21:22:07
185,Huarmey,22.8909,-109.9124,304.26,29,75,1.03,MX,2021-04-02 21:20:02
186,Huarmey,64.5011,-165.4064,262.15,85,90,10.8,US,2021-04-02 21:22:07
187,Huarmey,32.296,-81.2354,287.15,23,1,3.6,US,2021-04-02 21:18:06
188,Huarmey,30.7663,74.1231,290.68,7,0,2.53,PK,2021-04-02 21:22:08
189,Huarmey,47.6666,-52.7314,279.15,93,75,6.69,CA,2021-04-02 21:21:07
190,Huarmey,-31.4333,152.9167,290.93,99,99,0.45,AU,2021-04-02 21:22:08
191,Huarmey,50.5994,97.5228,261.36,89,6,0.84,RU,2021-04-02 21:22:08
192,Huarmey,-19.9842,57.6142,298.15,84,3,0.89,MU,2021-04-02 21:22:09
193,Huarmey,-4.0625,144.0661,296.02,98,100,0.81,PG,2021-04-02 21:22:09
194,Huarmey,-7.95,110.2833,297.69,87,47,1.77,ID,2021-04-02 21:22:10
195,Huarmey,29.5667,-104.4167,302.15,18,1,4.63,MX,2021-04-02 21:22:10
196,Huarmey,54.4277,50.8051,272.58,92,18,5.49,RU,2021-04-02 21:22:10
197,Huarmey,51.2029,29.0823,275.81,74,62,3.13,UA,2021-04-02 21:22:11
198,Huarmey,62.2266,-6.589,279.15,87,75,8.23,FO,2021-04-02 21:22:11
199,Huarmey,64.8378,-147.7164,260.93,61,1,1.11,US,2021-04-02 21:22:11
