City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Tsaratanana,MG,-16.7833,47.65,72.05,81,100,8.63,overcast clouds
320,Atasu,KZ,48.6814,71.6433,38.16,80,14,6.02,few clouds
321,Mikhaylovka,RU,50.06,43.2379,45.12,91,6,10.98,clear sky
322,Norman Wells,CA,65.282,-126.8329,10.4,56,20,10.36,few clouds
323,Valparaiso,CL,-33.0393,-71.6273,62.01,88,0,8.05,clear sky
324,Johnstown,US,40.3267,-78.922,66.2,48,90,3.44,overcast clouds
325,Yulara,AU,-25.2406,130.9889,77.0,29,6,9.22,clear sky
326,Chipinge,ZW,-20.1883,32.6236,53.31,90,5,2.82,clear sky
327,Roebourne,AU,-20.7833,117.1333,86.34,51,31,11.56,scattered clouds
328,Ilmajoki,FI,62.7333,22.5667,25.0,93,0,3.71,clear sky
329,Shaowu,CN,27.3409,117.4831,61.2,90,100,3.96,overcast clouds
330,Miri,MY,4.4148,114.0089,78.8,89,40,3.44,moderate rain
331,Exeter,GB,50.7236,-3.5275,36.0,87,0,1.14,clear sky
332,Broome,US,42.2506,-75.833,60.8,36,1,4.61,clear sky
333,Husavik,IS,66.0449,-17.3389,23.0,86,90,19.57,light snow
334,Barranca,PE,-10.75,-77.7667,69.17,85,96,6.42,overcast clouds
335,Rawson,AR,-43.3002,-65.1023,65.32,45,0,10.11,clear sky
336,San Quintin,MX,30.4833,-115.95,65.44,68,10,15.05,clear sky
337,Nouadhibou,MR,20.931,-17.0347,64.4,82,0,13.8,clear sky
338,Chenzhou,CN,25.8,113.0333,56.3,87,100,5.99,overcast clouds
339,Suntar,RU,62.1444,117.6319,33.42,99,100,6.29,light snow
340,Najran,SA,17.4924,44.1277,62.6,23,0,0.72,clear sky
341,Tommot,RU,58.9564,126.2925,18.55,76,100,2.98,overcast clouds
342,Bardiyah,LY,31.7561,25.0865,58.41,76,100,2.98,overcast clouds
343,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,75,8.05,light rain
344,Raudeberg,NO,61.9875,5.1352,30.99,84,100,7.81,light snow
345,Port Blair,IN,11.6667,92.75,81.66,71,43,0.92,scattered clouds
346,Bennington,US,42.8781,-73.1968,59.0,55,1,3.44,clear sky
347,Yicheng,CN,31.3705,119.8703,46.99,99,99,11.01,overcast clouds
